video_id,title,description,url,upload_date,channel_name,channel_id,view_count,like_count,comment_count,duration,thumbnail_url,tags,category_id,search_keyword
0ik-ybC_NQo,비닐채로 짜먹는 대만식 꿀젤리(?),#shorts #대만간식 #대만음식 #taiwan #taiwanfood #mukbang,https://www.youtube.com/watch?v=0ik-ybC_NQo,2025-01-01,프롬서희,UCQ208ny4iVFEoHOTvNKnx3g,2314318,57487,187,PT46S,https://i.ytimg.com/vi/0ik-ybC_NQo/hqdefault.jpg,,22,먹방
3M_R71aNEy0,9시간 행군 중 먹는 컵라면,"깊은 존경을 담아 국군 장병 여러분께 감사의 마음을 표합니다.

#군대#군대다큐#수색대#군대훈련#이등병#esportskbs#감동#이기자부대#행군#야간행군#교관#조교#육군#컵라면#육개장#먹방#라면먹방#컵라면먹방

Copyright ©️ KBS. All rights reserved. 무단 전재, 재배포 및 이용(AI 학습 포함) 금지",https://www.youtube.com/watch?v=3M_R71aNEy0,2025-01-02,esports KBS,UC9_093tAK3bXyZfT84efbvg,888293,13021,2459,PT23S,https://i.ytimg.com/vi/3M_R71aNEy0/hqdefault.jpg,,17,먹방
YHXLD4tTZis,취두부 원액 한잔해요~ 치얼스~,#먹방 #sashimi #sushi #취두부,https://www.youtube.com/watch?v=YHXLD4tTZis,2025-01-02,얌야미YamyamiTV,UCogGhMtm142H8JGtHL7Jqow,387565,3998,185,PT35S,https://i.ytimg.com/vi/YHXLD4tTZis/hqdefault.jpg,"얌야미, asmr먹방, 먹방, mukbang, koreafood, 먹방asmr, eatingshow, eatingasmr, koreaneatinshow, yamyami, koreanmukbang, mukbangkorea, 특이한먹방, 해산물먹방, shasami, 회먹방, shasimi mukbnag, raw, 수산물먹방, sushi, 취두부, 취두부 먹방, 취두부 먹방asmr, asmr, 취두부 asmr, 삭힌두부, 두부, 두부 먹방, 두부 먹방asmr, 두무 asmr, 계랑, 후라이, 계란후라이",22,먹방
_p_d3Knwo9o,"[베몬]먹는 거에 진심이라는 베몬의 먹방녀, 아현 (이렇게 잘 먹는데 몸매 레전드…ㅎㄷㄷ) #babymonster #베이비몬스터 #baemon #베몬","#babymonster #베이비몬스터 #baemon #베몬 #monstiez #몬스티즈 #ahyeon #아현 #babymonsterahyeon #yg #와이지 #drip  #kpop #idol 

출처:
(1) BABYMONSTER - ‘DRIP & CLIK CLAK’ PERFORMANCE VIDEO BEHIND (채널: BABYMONSTER)
(2) BABYMONSTER WEVERSE AHYEON POST

브금:
[브금대통령] (귀여우/장난/Comic) 그 빵은 내꺼야/That Bread is mine [무료음악/브금/Royalty Free Music] (채널: 브금대통령[BGM President]",https://www.youtube.com/watch?v=_p_d3Knwo9o,2025-01-01,라미콕,UCKSgyHey4N15VI3Tbzx39wQ,108907,2298,21,PT39S,https://i.ytimg.com/vi/_p_d3Knwo9o/hqdefault.jpg,,22,먹방
vrSoBM3q-Vs,불닭게티 짜파구리를 이을 이것,"https://link.coupang.com/a/b7UfpT

https://link.coupang.com/a/b7UfJr

*이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다",https://www.youtube.com/watch?v=vrSoBM3q-Vs,2025-01-01,에그맨 Egg Man,UCGplVsmdMMjiMFAMmN16Rww,459084,5601,65,PT20S,https://i.ytimg.com/vi/vrSoBM3q-Vs/hqdefault.jpg,,26,먹방
